City,State,Population
New York city, New York,"8,805,594"
Los Angeles city, California,"3,899,449"
Chicago city, Illinois,"2,748,331"
Houston city, Texas,"2,300,351"
Phoenix city, Arizona,"1,608,415"
Philadelphia city, Pennsylvania,"1,603,794"
San Antonio city, Texas,"1,434,322"
San Diego city, California,"1,384,429"
Dallas city, Texas,"1,304,345"
Jacksonville city, Florida,"949,618"
Fort Worth city, Texas,"918,923"
San Jose city, California,"1,013,419"
Austin city, Texas,"961,899"
Charlotte city, North Carolina,"874,687"
Columbus city, Ohio,"906,022"
Indianapolis city (balance), Indiana,"887,644"
San Francisco city, California,"878,392"
Seattle city, Washington,"737,020"
Denver city, Colorado,"715,513"
Oklahoma City city, Oklahoma,"681,069"
Nashville-Davidson metropolitan government (balance), Tennessee,"689,451"
Washington city, District of Columbia,"689,545"
El Paso city, Texas,"678,959"
Las Vegas city, Nevada,"645,822"
Boston city, Massachusetts,"678,622"
Detroit city, Michigan,"639,471"
Louisville/Jefferson County metro government (balance), Kentucky,"631,890"
Portland city, Oregon,"652,522"
Memphis city, Tennessee,"628,546"
Baltimore city, Maryland,"585,720"
Milwaukee city, Wisconsin,"577,897"
Albuquerque city, New Mexico,"564,549"
Tucson city, Arizona,"542,649"
Fresno city, California,"542,235"
Sacramento city, California,"524,908"
Atlanta city, Georgia,"498,792"
Mesa city, Arizona,"504,374"
Kansas City city, Missouri,"507,984"
Raleigh city, North Carolina,"467,911"
Colorado Springs city, Colorado,"480,378"
Omaha city, Nebraska,"491,875"
Miami city, Florida,"442,244"
Virginia Beach city, Virginia,"459,444"
Long Beach city, California,"466,766"
Oakland city, California,"440,679"
Minneapolis city, Minnesota,"429,983"
Bakersfield city, California,"404,368"
Tulsa city, Oklahoma,"413,143"
Tampa city, Florida,"385,288"
Arlington city, Texas,"394,377"
Aurora city, Colorado,"386,333"
Wichita city, Kansas,"397,572"
Cleveland city, Ohio,"372,626"
New Orleans city, Louisiana,"384,130"
Henderson city, Nevada,"316,893"
Urban Honolulu CDP, Hawaii,"350,956"
Anaheim city, California,"346,810"
Orlando city, Florida,"307,785"
Lexington-Fayette urban county, Kentucky,"322,566"
Stockton city, California,"320,802"
Riverside city, California,"315,478"
Irvine city, California,"307,682"
Corpus Christi city, Texas,"318,066"
Newark city, New Jersey,"311,553"
Santa Ana city, California,"310,534"
Cincinnati city, Ohio,"309,561"
Pittsburgh city, Pennsylvania,"302,960"
St. Paul city, Minnesota,"311,483"
Greensboro city, North Carolina,"299,190"
Jersey City city, New Jersey,"292,749"
Durham city, North Carolina,"283,827"
Lincoln city, Nebraska,"291,333"
North Las Vegas city, Nevada,"259,472"
Plano city, Texas,"285,464"
Anchorage municipality, Alaska,"291,246"
Gilbert town, Arizona,"267,882"
Madison city, Wisconsin,"274,667"
Reno city, Nevada,"264,146"
Chandler city, Arizona,"276,103"
St. Louis city, Missouri,"301,371"
Chula Vista city, California,"275,494"
Buffalo city, New York,"278,286"
Fort Wayne city, Indiana,"263,914"
Lubbock city, Texas,"257,206"
St. Petersburg city, Florida,"258,344"
Toledo city, Ohio,"270,877"
Laredo city, Texas,"255,211"
Port St. Lucie city, Florida,"204,859"
Glendale city, Arizona,"248,399"
Irving city, Texas,"256,781"
Winston-Salem city, North Carolina,"249,567"
Chesapeake city, Virginia,"249,302"
Garland city, Texas,"246,191"
Scottsdale city, Arizona,"241,334"
Boise City city, Idaho,"235,717"
Hialeah city, Florida,"223,122"
Frisco city, Texas,"200,537"
Richmond city, Virginia,"226,525"
Cape Coral city, Florida,"194,001"
Norfolk city, Virginia,"238,029"
Spokane city, Washington,"228,973"
Huntsville city, Alabama,"215,079"
Santa Clarita city, California,"232,809"
Tacoma city, Washington,"219,210"
Fremont city, California,"230,497"
McKinney city, Texas,"195,333"
San Bernardino city, California,"222,100"
Baton Rouge city, Louisiana,"226,926"
Modesto city, California,"218,504"
Fontana city, California,"208,407"
